Mã,Ngày,KL mua,GT mua,KL bán,GT bán,KL giao dịch ròng,GT giao dịch ròng
HPG,2024-05-09,1212700,36.96,580500,17.64,632200,19.32
HPG,2024-05-08,1058900,32,1191600,36.11,-132700,-4.12
HPG,2024-05-07,1215900,36.26,1170200,34.48,45700,1.78
HPG,2024-05-06,1920400,55.96,655800,19.11,1264600,36.85
HPG,2024-05-03,816700,23.52,1465100,42.22,-648400,-18.7
HPG,2024-05-02,363200,10.26,643800,18.17,-280600,-7.91
HPG,2024-04-26,1766000,49.97,1982200,56.18,-216200,-6.21
HPG,2024-04-25,1023000,29.12,1580100,45.06,-557100,-15.94
HPG,2024-04-24,1331700,37.56,1867400,53.1,-535700,-15.54
HPG,2024-04-23,1054600,29.39,3501100,97.24,-2446500,-67.85
HPG,2024-04-22,1127300,31.6,1025300,28.76,102000,2.84
HPG,2024-04-19,2920700,81.56,1617100,45.24,1303600,36.31
HPG,2024-04-17,1168700,33.05,1938200,54.71,-769500,-21.66
HPG,2024-04-16,4612800,130.19,1257600,35.53,3355200,94.67
HPG,2024-04-15,2557800,74.5,1271600,37.2,1286200,37.31
HPG,2024-04-12,990900,29.66,462900,13.84,528000,15.82
HPG,2024-04-11,440500,13.17,796100,23.8,-355600,-10.64
HPG,2024-04-10,494700,14.78,1474500,44.15,-979800,-29.37
HPG,2024-04-09,605800,18.01,1456700,43.31,-850900,-25.3
HPG,2024-04-08,854400,25.29,1743700,51.65,-889300,-26.36
HPG,2024-04-05,2567900,75.66,811100,23.97,1756800,51.7
HPG,2024-04-04,3928500,117.83,781500,23.23,3147000,94.6
HPG,2024-04-03,601700,18.19,2355700,71.27,-1754000,-53.08
HPG,2024-04-02,2221800,66.73,1632100,49.14,589700,17.58
HPG,2024-04-01,1780900,53.82,383800,11.56,1397100,42.26
HPG,2024-03-29,1214200,36.94,1430500,43.66,-216300,-6.71
HPG,2024-03-28,1489200,45.59,1588600,48.56,-99400,-2.97
HPG,2024-03-27,1791000,55.13,2792200,86.16,-1001200,-31.03
HPG,2024-03-26,1045400,31.79,705200,21.4,340200,10.39
