Ngày,Thay đổi,KL giao dịch ròng,GT giao dịch ròng,KL mua,GT mua,KL bán,GT bán,Room còn lại,Đang sở hữu
2015-03-25,44(-0.68 %),-270420,-11.99,850700,37.68,1121120,49.67,36130208,41.61%
2015-03-24,44.3(-1.56 %),-270420,-11.99,850700,37.68,1121120,49.67,35859788,41.66%
2015-03-23,45(-2.81 %),-52720,-2.39,1293060,58.95,1345780,61.34,35589368,41.72%
2015-03-20,46.3(5.23 %),632180,29.7,1925380,87.6,1293200,57.91,35536648,41.73%
2015-03-19,44(-1.35 %),-471140,-20.8,355490,15.61,826630,36.41,36168828,41.6%
2015-03-18,44.6(-0.89 %),-815730,-36.38,3450,0.16,819180,36.53,35697688,41.69%
2015-03-17,45(-0.22 %),-489150,-22.17,700,0.03,489850,22.2,34881958,41.86%
2015-03-16,45.1(-3.01 %),-425010,-19.29,7790,0.35,432800,19.65,34392808,41.96%
2015-03-13,46.5(-0.64 %),-216740,-10.12,33000,1.54,249740,11.66,33967798,42.05%
2015-03-12,46.8(-1.47 %),-271500,-12.77,5500,0.26,277000,13.02,33751058,42.09%
2015-03-11,47.5(-1.04 %),-353120,-16.87,5400,0.26,358520,17.13,33479558,42.15%
2015-03-10,48(-1.23 %),-452620,-21.84,8230,0.4,460850,22.24,33126438,42.22%
2015-03-09,48.6(2.97 %),-232270,-11.25,10230,0.49,242500,11.74,32673818,42.31%
2015-03-06,47.2(-0.21 %),-41030,-1.93,43970,2.08,85000,4.01,32441548,42.36%
2015-03-05,47.3(0.42 %),-291840,-13.85,111510,5.29,403350,19.14,32400518,42.37%
2015-03-04,47.1(0.00 %),-90310,-4.26,56240,2.65,146550,6.91,32108678,42.43%
2015-03-03,47.1(1.95 %),-133460,-6.26,407940,19.14,541400,25.4,32018368,42.45%
2015-03-02,46.2(-1.91 %),-393860,-18.36,90800,4.22,484660,22.58,31884908,42.47%
2015-02-27,47.1(-1.67 %),-408080,-19.18,209770,9.86,617850,29.04,29321028,43%
2015-02-26,47.9(-1.03 %),-292610,-13.99,173720,8.3,466330,22.29,28912948,43.08%
2015-02-25,48.4(-1.83 %),28960,1.41,216650,10.55,187690,9.14,28620338,43.14%
2015-02-24,49.3(0.20 %),149690,7.3,206150,10.06,56460,2.76,28649298,43.06%
2015-02-13,49.2(0.82 %),231440,11.38,232590,11.44,1150,0.06,28798988,43.02%
2015-02-12,48.8(0.83 %),104280,5.08,127980,6.24,23700,1.16,29030428,42.98%
2015-02-11,48.4(4.54 %),60210,2.87,60210,2.87,0,0,29134708,42.95%
2015-02-10,46.3(3.35 %),-67720,-3.07,75000,3.43,142720,6.5,29194918,42.94%
2015-02-09,44.8(-2.61 %),-138460,-6.24,5790,0.26,144250,6.5,29127198,42.96%
2015-02-06,46(2.45 %),-78040,-3.59,2000,0.09,80040,3.69,28988738,42.98%
2015-02-05,44.9(-0.66 %),-131170,-5.88,324510,14.5,455680,20.38,28910698,43%
2015-02-04,45.2(-3.21 %),-390800,-17.79,56800,2.58,447600,20.38,28779528,43.03%
2015-02-03,46.7(-1.68 %),-40460,-1.95,102200,4.77,142660,6.72,28388728,43.11%
2015-02-02,47.5(-0.63 %),-63760,-3.05,5750,0.27,69510,3.32,28348268,43.12%
2015-01-30,47.8(-3.24 %),-403470,-19.51,2600,0.13,406070,19.64,28615373,43.06%
2015-01-29,49.4(-2.18 %),-18390,-0.9,22430,1.12,40820,2.02,28211903,43.15%
2015-01-28,50.5(0.00 %),30020,1.51,90020,4.52,60000,3.01,28193513,43.15%
2015-01-27,50.5(1.41 %),-333640,-16.7,376000,18.82,709640,35.52,28223533,43.14%
2015-01-26,49.8(-3.30 %),-255840,-12.97,369300,18.67,625140,31.64,27889893,43.21%
2015-01-23,51.5(-2.83 %),-433680,-22.53,438740,22.95,872420,45.48,27634053,43.27%
2015-01-22,53(-0.93 %),-28600,-1.52,137400,7.28,166000,8.8,27200373,43.36%
2015-01-21,53.5(0.94 %),273150,14.45,507150,26.81,234000,12.36,27171773,43.36%
2015-01-20,53(0.95 %),29240,1.54,51490,2.71,22250,1.17,27444923,43.3%
2015-01-19,52.5(-0.94 %),-18310,-0.95,165260,8.77,183570,9.72,27474163,43.3%
2015-01-16,53(-1.85 %),-15710,-0.83,97910,5.23,113620,6.06,27455853,43.3%
2015-01-15,54(0.00 %),-3130,-0.15,66500,3.6,69630,3.75,27440143,43.31%
2015-01-14,54(0.00 %),5790,0.31,76290,4.08,70500,3.77,27437013,43.31%
2015-01-13,54(0.00 %),-27700,-1.48,22300,1.2,50000,2.68,27442803,43.31%
2015-01-12,54(0.00 %),31840,1.74,254000,13.74,222160,12,27415103,43.31%
2015-01-09,54(1.89 %),137030,7.33,196380,10.5,59350,3.17,27446943,43.3%
2015-01-08,53(0.00 %),47630,2.52,57630,3.05,10000,0.53,27583973,43.28%
2015-01-07,53(-0.93 %),-27500,-1.47,22500,1.2,50000,2.68,27631603,43.27%
2015-01-06,53.5(0.94 %),14830,0.79,82000,4.36,67170,3.56,27604103,43.27%
