Ngày,Thay đổi,KL giao dịch ròng,GT giao dịch ròng,KL mua,GT mua,KL bán,GT bán,Room còn lại,Đang sở hữu
2024-07-26,128(2.40 %),358600,45.57,1264600,159.14,906000,113.56,55718663,0%
2024-07-25,125(-0.79 %),197200,24.7,798400,99.65,601200,74.95,56077263,0%
2024-07-24,126(0.40 %),-616900,-77.38,851500,106.82,1468400,184.2,56274463,0%
2024-07-23,125.5(1.13 %),11400,1.36,1080800,137.04,1069400,135.68,55657563,0%
2024-07-22,124.1(-1.51 %),497200,61.31,1989600,247,1492400,185.69,55668963,0%
2024-07-19,126(-1.49 %),-1792800,-228.15,428100,54.17,2220900,282.32,56166163,0%
2024-07-18,127.9(-3.03 %),-2731000,-352,1061600,136.94,3792600,488.94,54373363,0%
2024-07-17,131.9(-1.57 %),1232100,161.53,2234900,294.59,1002800,133.06,51642363,0%
2024-07-16,134(0.98 %),460000,61.26,1625500,216.56,1165500,155.29,52874463,0%
2024-07-15,132.7(-0.82 %),-133900,-18.14,868300,115.5,1002200,133.64,53334463,0%
2024-07-12,133.8(0.60 %),-360600,-48.43,559400,74.77,920000,123.2,53200563,0%
2024-07-11,133(-0.75 %),-2976100,-397.36,1003900,134.24,3980000,531.6,52839963,0%
2024-07-10,134(-2.55 %),-2525300,-342.81,386200,52.4,2911500,395.22,49863863,0%
2024-07-09,137.5(-1.50 %),-4958300,-680,1060600,145.46,6018900,825.46,47338563,0%
2024-07-08,139.6(0.65 %),-1895600,-263.17,692300,96.23,2587900,359.4,42380263,0%
2024-07-05,138.7(2.14 %),-1956000,-270.99,821000,113.4,2777000,384.39,40484663,0%
2024-07-04,135.8(3.66 %),161400,22.33,1283400,172.28,1122000,149.95,38528663,0%
2024-06-28,130.5(-1.73 %),-1935125,-255.85,826180,108.31,2761305,364.16,35594870,46.2%
2024-06-27,132.8(0.76 %),-766659,-101.06,780841,103.55,1547500,204.61,33491050,46.36%
2024-06-26,131.8(1.38 %),-1921161,-249.57,1098839,144.05,3020000,393.62,30620913,46.59%
2024-06-25,130(-1.59 %),-2040860,-264.91,1953461,253.33,3994321,518.24,25821114,46.97%
2024-06-24,132.1(-2.94 %),-4412286,-590.39,1487752,198.34,5900038,788.73,24711232,47.05%
2024-06-21,136.1(2.10 %),-1676447,-227.02,1019553,137.33,2696000,364.35,23643170,47.14%
2024-06-20,133.3(1.37 %),-1975016,-265.36,580798,77.69,2555814,343.05,22353923,47.24%
2024-06-19,131.5(2.73 %),-1715424,-221.89,513376,66.72,2228800,288.61,20070002,47.42%
2024-06-18,128(-0.62 %),-2338276,-301.81,598243,76.82,2936519,378.63,19504678,47.46%
2024-06-17,128.8(-1.68 %),-856408,-110.98,293292,37.99,1149700,148.96,17816821,47.6%
2024-06-14,131(0.77 %),-1141201,-148.5,1069099,139,2210300,287.5,12259278,48.03%
2024-06-13,130(-1.52 %),0,0,0,0,0,0,9000226,48.29%
2024-06-12,132(4.33 %),-3780711,-495.3,547440,71.44,4328151,566.74,7300722,48.43%
2024-06-11,0(0.00 %),-1800964,-260,244830,35.41,2045794,295.41,2888237,48.77%
2024-06-10,0(0.00 %),-1154019,-165.61,126397,18.16,1280416,183.77,5096992,55.89%
2024-06-07,0(0.00 %),-176636,-24.95,1101764,155.75,1278400,180.69,3942973,48.69%
2024-06-06,139.6(-0.36 %),-1594106,-224.12,334694,46.97,1928800,271.09,2888237,48.77%
2024-06-05,140.1(0.72 %),-438200,-61.02,1534600,217.75,1972800,278.77,1397551,56.22%
2024-06-04,139.1(1.61 %),708900,98.52,1943500,270.08,1234600,171.57,959351,56.26%
2024-06-03,136.9(1.71 %),-744200,-101.79,1244000,169.89,1988200,271.68,1668251,56.2%
2024-05-31,134.6(-0.30 %),355200,47.67,533900,71.76,178700,24.09,1668251,48.87%
2024-05-30,135(-0.52 %),-1527200,-202.74,1348900,179.66,2876100,382.4,534061,48.96%
2024-05-29,135.7(-0.95 %),748900,101.48,2417100,328.27,1668200,226.79,1349609,48.89%
2024-05-28,137(3.16 %),588000,78.89,1121900,150.6,533900,71.71,3271747,48.74%
2024-05-27,132.8(0.68 %),220100,29.81,1006600,133.88,786500,104.07,1372915,48.89%
2024-05-24,131.9(-4.07 %),-2664600,-355.39,607000,83.18,3271600,438.58,5876854,55.82%
2024-05-23,137.5(-0.36 %),-1372900,-187.15,0,0,1372900,187.15,607768,48.95%
2024-05-22,138(1.47 %),-550800,-75.93,455800,62.85,1006600,138.77,0,49%
2024-05-21,136(2.26 %),-330000,-44.4,277700,37.21,607700,81.61,455900,48.96%
2024-05-20,133(-1.12 %),-27100,-3.66,800,0.11,27900,3.77,277700,48.98%
2024-05-17,134.5(-0.66 %),-491800,-66.02,100,0.01,491900,66.03,800,49%
2024-05-16,135.4(0.97 %),-272300,-37.11,5400,0.73,277700,37.84,711954,56.28%
2024-05-15,134.1(2.76 %),-600,-0.08,200,0.03,800,0.11,439654,56.31%
2024-05-14,130.5(0.62 %),3800,0.49,3900,0.51,100,0.01,439054,56.31%
2024-05-13,129.7(-0.99 %),-39400,-5.12,0,0,39400,5.12,3969,49%
2024-05-10,131(0.54 %),-380200,-49.77,0,0,380200,49.77,0,49%
2024-05-09,130.3(-0.53 %),-3900,-0.51,0,0,3900,0.51,0,49%
2024-05-08,131(-0.23 %),100,0.01,100,0.01,0,0,0,49%
2024-05-07,131.3(2.90 %),15200,1.94,19400,2.48,4200,0.55,100,49%
2024-05-06,127.6(1.35 %),13000,1.64,13000,1.64,0,0,19454,49%
